"id","tyc","gaia","hyg","hip","hd","hr","gl","bayer","flam","con","proper","ra","dec","pos_src","dist","x0","y0","z0","dist_src","mag","absmag","ci","mag_src","rv","rv_src","pm_ra","pm_dec","pm_src","vx","vy","vz","spect","spect_src"
"2160801","3155-2323-1","2062313797982404608","99648","99968","193092","7759","","","","Cyg","","20.28202424","40.36506871","T","582.1727","249.521","-366.742","377.047","G_R3","5.27","-3.555","1.65","HIP","-20.353","G_R3","2.245","-2.139","G_R3","-1.449","13.147","-17.679","K4II","T"
"2162963","3151-3442-1","2061242908036996352","99723","100044","193237","7763","","","34","Cyg","","20.29644465","38.03292997","T","1599.7861","712.752","-1039.131","985.651","G_R3","4.77","-6.25","0.377","HIP","-9.0","HYG","-3.723","-6.798","G_R3","-9.327","-36.318","-46.152","B1P","T"
"2163643","5749-2530-1","6880093650314169984","99743","100064","192947","7754","","Alp-2","6","Cap","Algedi","20.300904","-12.544852","HIP_X","33.4292","18.489","-26.888","-7.261","G_R3","3.58","0.959","0.883","HIP","0.7","HYG","61.212","2.412","G_R3","8.427","4.865","0.221","G6/G8III","HYG"
"2167109","6336-1995-1","6860553954296642176","99873","100195","193150","7761","","Sig","7","Cap","","20.32322334","-19.11853278","T","290.293","156.726","-225.094","-95.078","G_R3","5.28","-2.034","1.394","HIP","-10.048","G_R3","5.034","-10.825","G_R3","-2.527","15.754","-10.784","K2 III","T"
"2165147","2680-1628-1","2057110874609437952","99799","100122","193370","7770","","","35","Cyg","","20.31085256","34.98277945","T","1026.7022","478.43","-691.9","588.639","G_R3","5.14","-4.917","0.66","HIP","-18.055","G_R3","-2.802","-4.292","G_R3","-12.817","-5.438","-27.465","F5P","T"
"2171237","5753-2281-1","6875990375999580544","100020","100345","193495","7776","","Bet","9","Cap","Dabih","20.35018672","-14.78140739","T","119.0958","66.4652","-94.0366","-30.3848","G_R3","3.05","-2.329","0.79","HIP","-19.0","HYG","44.133","0.36","G_R3","9.773","29.341","5.044","K0 :II: + A5:N","T"
"2170351","5749-2531-1","6879844473490229888","99985","100310","193432","7773","","Nu","8","Cap","Alshat","20.34439331","-12.75908049","T","82.1445","46.143","-65.494","-18.142","G_R3","4.77","0.197","-0.047","HIP","-1.735","G_R3","14.13","-15.123","G_R3","2.774","5.616","-5.36","B9 IV","T"
"2176622","505-2355-1","4246237185473865216","100215","100541","194013","7794","","","","Aql","","20.38630394","5.34298481","T","79.3221","46.192","-64.06","7.386","G_R3","5.3","0.803","0.983","HIP","-11.43","G_R3","-27.259","-39.712","G_R3","-14.157","2.108","-15.932","G8III-IV","T"
"2174213","3156-2223-1","2067518817314952576","100128","100453","194093","7796","","Gam","37","Cyg","Sadr","20.37047292","40.25667904","T","561.7978","249.318","-348.796","363.041","HIP","2.23","-6.518","0.673","HIP","-8.0","HYG","2.43","-0.93","HYG","2.645","7.428","-7.06","(F5IAB)","T"
"2178414","2676-1688-1","1862193748217511040","100260","100587","194317","7806","","","39","Cyg","","20.39767338","32.19018145","T","81.7267","40.6189","-55.9791","43.538","G_R3","4.43","-0.132","1.331","HIP","-15.0","HYG","52.762","0.309","G_R3","9.052","22.331","-7.89","K3III","T"
